timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2025-05-10 18:19:07,0.03,23.41,9.14,17,healthy
2025-05-10 18:19:13,0.02,23.5,9.18,18,healthy
2025-05-10 18:19:19,1.55,38.89,15.19,16,healthy
2025-05-10 18:19:24,0.03,38.66,15.10,13,healthy
2025-05-10 18:19:30,45.37,250.3,97.77,59,healthy
2025-05-10 18:19:36,0.04,23.41,9.14,18,healthy
2025-05-10 18:19:41,0.03,23.49,9.18,16,healthy
2025-05-10 18:19:48,50.00,255.8,99.92,4,unhealthy
2025-05-10 18:19:54,5.80,23.45,9.16,18,healthy
2025-05-10 18:19:59,50.22,241.5,94.34,226,healthy
2025-05-10 18:20:05,50.09,255.8,99.92,138,healthy
2025-05-10 18:20:11,0.02,23.4,9.14,18,healthy
2025-05-10 18:20:17,50.48,245.1,95.74,15,healthy
2025-05-10 18:20:23,0.00,23.84,9.31,9,healthy
2025-05-10 18:20:29,0.02,23.48,9.17,17,healthy
2025-05-10 18:20:35,0.00,11,100.00,14,healthy
2025-05-10 18:20:40,5.59,23.75,9.28,17,healthy
2025-05-10 18:20:46,50.11,255.9,99.96,50,healthy
2025-05-10 18:20:51,0.03,23.39,9.14,8,healthy
2025-05-10 18:20:58,46.87,223.4,87.27,205,healthy
2025-05-10 18:21:04,0.03,23.79,9.29,32,healthy
2025-05-10 18:21:10,8.66,34.63,13.53,18,healthy
2025-05-10 18:21:15,0.04,23.41,9.14,18,healthy
2025-05-10 18:21:21,0.02,23.49,9.18,17,healthy
2025-05-10 18:21:27,0.03,23.4,9.14,14,healthy
2025-05-10 18:21:33,0.03,23.49,9.18,18,healthy
2025-05-10 18:21:39,1.03,33.82,13.21,29,healthy
2025-05-10 18:21:44,0.03,23.41,9.14,25,healthy
2025-05-10 18:21:50,0.04,23.5,9.18,17,healthy
2025-05-10 18:21:56,0.02,23.39,9.14,8,healthy
2025-05-10 18:22:01,0.03,23.49,9.18,19,healthy
2025-05-10 18:22:07,0.02,23.4,9.14,16,healthy
2025-05-10 18:22:13,0.04,23.49,9.18,19,healthy
2025-05-10 18:22:19,0.03,23.31,9.11,16,healthy
2025-05-10 18:22:25,0.02,23.49,9.18,26,healthy
2025-05-10 18:22:30,0.00,23.56,9.20,18,healthy
2025-05-10 18:22:36,5.39,38.55,15.06,19,healthy
